Version,1
Sampling cycle,1000us
Out count,1
Data count,3402
First index,256367

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
256979,-1.8163,GO
256980,-1.8163,GO
256981,-1.8166,GO
256982,-1.8163,GO
256983,-1.8163,GO
256984,-1.8166,GO
256985,-1.8166,GO
256986,-1.8168,GO
256987,-1.8168,GO
256988,-1.8168,GO
256989,-1.8171,GO
256990,-1.8173,GO
256991,-1.8176,GO
256992,-1.8179,GO
256993,-1.8181,GO
256994,-1.8181,GO
256995,-1.8181,GO
256996,-1.8181,GO
256997,-1.8181,GO
256998,-1.8181,GO
256999,-1.8184,GO
257000,-1.8184,GO
257001,-1.8184,GO
257002,-1.8186,GO
257003,-1.8186,GO
257004,-1.8186,GO
257005,-1.8189,GO
257006,-1.8189,GO
257007,-1.8186,GO
257008,-1.8189,GO
257009,-1.8189,GO
257010,-1.8191,GO
257011,-1.8191,GO
257012,-1.8191,GO
257013,-1.8194,GO
257014,-1.8194,GO
257015,-1.8194,GO
257016,-1.8194,GO
257017,-1.8194,GO
257018,-1.8194,GO
257019,-1.8194,GO
257020,-1.8194,GO
257021,-1.8194,GO
257022,-1.8194,GO
257023,-1.8194,GO
257024,-1.8194,GO
257025,-1.8194,GO
257026,-1.8194,GO
257027,-1.8191,GO
257028,-1.8191,GO
257029,-1.8191,GO
257030,-1.8191,GO
257031,-1.8189,GO
257032,-1.8189,GO
257033,-1.8186,GO
257034,-1.8184,GO
257035,-1.8184,GO
257036,-1.8181,GO
257037,-1.8181,GO
257038,-1.8179,GO
257039,-1.8176,GO
257040,-1.8173,GO
257041,-1.8171,GO
257042,-1.8171,GO
257043,-1.8166,GO
257044,-1.8166,GO
257045,-1.8163,GO
257046,-1.8161,GO
257047,-1.8158,GO
257048,-1.8158,GO
257049,-1.8158,GO
257050,-1.8158,GO
257051,-1.8158,GO
257052,-1.8158,GO
257053,-1.8158,GO
257054,-1.8156,GO
257055,-1.8156,GO
257056,-1.8153,GO
257057,-1.8156,GO
257058,-1.8156,GO
257059,-1.8156,GO
257060,-1.8156,GO
257061,-1.8158,GO
257062,-1.8158,GO
257063,-1.8161,GO
257064,-1.8163,GO
257065,-1.8163,GO
257066,-1.8166,GO
257067,-1.8171,GO
257068,-1.8171,GO
257069,-1.8173,GO
257070,-1.8176,GO
257071,-1.8179,GO
257072,-1.8181,GO
257073,-1.8186,GO
257074,-1.8186,GO
257075,-1.8189,GO
257076,-1.8189,GO
257077,-1.8189,GO
257078,-1.8191,GO
257079,-1.8191,GO
257080,-1.8191,GO
257081,-1.8191,GO
257082,-1.8191,GO
257083,-1.8189,GO
257084,-1.8191,GO
257085,-1.8191,GO
257086,-1.8191,GO
257087,-1.8191,GO
257088,-1.8191,GO
257089,-1.8191,GO
257090,-1.8189,GO
257091,-1.8186,GO
257092,-1.8184,GO
257093,-1.8181,GO
257094,-1.8179,GO
257095,-1.8176,GO
257096,-1.8173,GO
257097,-1.8171,GO
257098,-1.8168,GO
257099,-1.8166,GO
257100,-1.8163,GO
257101,-1.8161,GO
257102,-1.8158,GO
257103,-1.8156,GO
257104,-1.8156,GO
257105,-1.8153,GO
257106,-1.8150,GO
257107,-1.8148,GO
257108,-1.8148,GO
257109,-1.8145,GO
257110,-1.8145,GO
257111,-1.8143,GO
257112,-1.8140,GO
257113,-1.8140,GO
257114,-1.8140,GO
257115,-1.8143,GO
257116,-1.8143,GO
257117,-1.8143,GO
257118,-1.8143,GO
257119,-1.8145,GO
257120,-1.8145,GO
257121,-1.8145,GO
257122,-1.8148,GO
257123,-1.8148,GO
257124,-1.8150,GO
257125,-1.8150,GO
257126,-1.8153,GO
257127,-1.8156,GO
257128,-1.8158,GO
257129,-1.8161,GO
257130,-1.8166,GO
257131,-1.8166,GO
257132,-1.8171,GO
257133,-1.8173,GO
257134,-1.8176,GO
257135,-1.8179,GO
257136,-1.8179,GO
257137,-1.8179,GO
257138,-1.8181,GO
257139,-1.8181,GO
257140,-1.8181,GO
257141,-1.8184,GO
257142,-1.8186,GO
257143,-1.8186,GO
257144,-1.8189,GO
257145,-1.8189,GO
257146,-1.8191,GO
257147,-1.8191,GO
257148,-1.8189,GO
257149,-1.8189,GO
257150,-1.8186,GO
257151,-1.8186,GO
257152,-1.8189,GO
257153,-1.8186,GO
257154,-1.8186,GO
257155,-1.8189,GO
257156,-1.8186,GO
257157,-1.8184,GO
257158,-1.8184,GO
257159,-1.8181,GO
257160,-1.8181,GO
257161,-1.8179,GO
257162,-1.8176,GO
257163,-1.8173,GO
257164,-1.8173,GO
257165,-1.8171,GO
257166,-1.8171,GO
257167,-1.8171,GO
257168,-1.8171,GO
257169,-1.8171,GO
257170,-1.8168,GO
257171,-1.8166,GO
257172,-1.8163,GO
257173,-1.8163,GO
257174,-1.8161,GO
257175,-1.8161,GO
257176,-1.8161,GO
257177,-1.8161,GO
257178,-1.8158,GO
257179,-1.8158,GO
257180,-1.8158,GO
257181,-1.8158,GO
257182,-1.8156,GO
257183,-1.8156,GO
257184,-1.8156,GO
257185,-1.8156,GO
257186,-1.8156,GO
257187,-1.8156,GO
257188,-1.8158,GO
257189,-1.8156,GO
257190,-1.8158,GO
257191,-1.8158,GO
257192,-1.8161,GO
257193,-1.8161,GO
257194,-1.8163,GO
257195,-1.8163,GO
257196,-1.8163,GO
257197,-1.8163,GO
257198,-1.8166,GO
257199,-1.8168,GO
257200,-1.8168,GO
257201,-1.8168,GO
257202,-1.8168,GO
257203,-1.8171,GO
257204,-1.8173,GO
257205,-1.8176,GO
257206,-1.8176,GO
257207,-1.8179,GO
257208,-1.8179,GO
257209,-1.8181,GO
257210,-1.8181,GO
257211,-1.8181,GO
257212,-1.8179,GO
257213,-1.8179,GO
257214,-1.8179,GO
257215,-1.8179,GO
257216,-1.8181,GO
257217,-1.8181,GO
257218,-1.8181,GO
257219,-1.8181,GO
257220,-1.8181,GO
257221,-1.8179,GO
257222,-1.8179,GO
257223,-1.8173,GO
257224,-1.8173,GO
257225,-1.8173,GO
257226,-1.8173,GO
257227,-1.8173,GO
257228,-1.8171,GO
257229,-1.8171,GO
257230,-1.8168,GO
257231,-1.8168,GO
257232,-1.8168,GO
257233,-1.8166,GO
257234,-1.8168,GO
257235,-1.8166,GO
257236,-1.8163,GO
257237,-1.8163,GO
257238,-1.8163,GO
257239,-1.8163,GO
257240,-1.8166,GO
257241,-1.8166,GO
257242,-1.8166,GO
257243,-1.8168,GO
257244,-1.8168,GO
257245,-1.8171,GO
257246,-1.8173,GO
257247,-1.8173,GO
257248,-1.8176,GO
