Version,1
Sampling cycle,1000us
Out count,1
Data count,23821
First index,885114

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
885872,-2.9194,GO
885873,-2.9194,GO
885874,-2.9197,GO
885875,-2.9197,GO
885876,-2.9197,GO
885877,-2.9197,GO
885878,-2.9197,GO
885879,-2.9197,GO
885880,-2.9197,GO
885881,-2.9194,GO
885882,-2.9194,GO
885883,-2.9192,GO
885884,-2.9194,GO
885885,-2.9194,GO
885886,-2.9192,GO
885887,-2.9192,GO
885888,-2.9189,GO
885889,-2.9189,GO
885890,-2.9187,GO
885891,-2.9184,GO
885892,-2.9184,GO
885893,-2.9179,GO
885894,-2.9179,GO
885895,-2.9176,GO
885896,-2.9174,GO
885897,-2.9171,GO
885898,-2.9174,GO
885899,-2.9171,GO
885900,-2.9169,GO
885901,-2.9166,GO
885902,-2.9164,GO
885903,-2.9164,GO
885904,-2.9161,GO
885905,-2.9161,GO
885906,-2.9158,GO
885907,-2.9158,GO
885908,-2.9161,GO
885909,-2.9158,GO
885910,-2.9158,GO
885911,-2.9161,GO
885912,-2.9158,GO
885913,-2.9158,GO
885914,-2.9158,GO
885915,-2.9156,GO
885916,-2.9156,GO
885917,-2.9156,GO
885918,-2.9156,GO
885919,-2.9156,GO
885920,-2.9153,GO
885921,-2.9151,GO
885922,-2.9146,GO
885923,-2.9146,GO
885924,-2.9148,GO
885925,-2.9148,GO
885926,-2.9148,GO
885927,-2.9151,GO
885928,-2.9151,GO
885929,-2.9151,GO
885930,-2.9151,GO
885931,-2.9151,GO
885932,-2.9151,GO
885933,-2.9151,GO
885934,-2.9153,GO
885935,-2.9156,GO
885936,-2.9156,GO
885937,-2.9156,GO
885938,-2.9156,GO
885939,-2.9156,GO
885940,-2.9158,GO
885941,-2.9158,GO
885942,-2.9158,GO
885943,-2.9158,GO
885944,-2.9158,GO
885945,-2.9158,GO
885946,-2.9161,GO
885947,-2.9161,GO
885948,-2.9161,GO
885949,-2.9161,GO
885950,-2.9161,GO
885951,-2.9164,GO
885952,-2.9164,GO
885953,-2.9161,GO
885954,-2.9164,GO
885955,-2.9164,GO
885956,-2.9166,GO
885957,-2.9169,GO
885958,-2.9166,GO
885959,-2.9166,GO
885960,-2.9164,GO
885961,-2.9164,GO
885962,-2.9161,GO
885963,-2.9161,GO
885964,-2.9161,GO
885965,-2.9161,GO
885966,-2.9161,GO
885967,-2.9158,GO
885968,-2.9158,GO
885969,-2.9158,GO
885970,-2.9158,GO
885971,-2.9158,GO
