Version,1
Sampling cycle,1000us
Out count,1
Data count,6169
First index,11684

,OUT01
Display unit,0.0001mm
Upper limit,5.0000mm
Lower limit,-5.0000mm

Trigger count,OUT01(mm),
12730,-2.0242,GO
12731,-2.0280,GO
12732,-2.0321,GO
12733,-2.0360,GO
12734,-2.0401,GO
12735,-2.0444,GO
12736,-2.0495,GO
12737,-2.0557,GO
12738,-2.0628,GO
12739,-2.0705,GO
12740,-2.0787,GO
12741,-2.0874,GO
12742,-2.0964,GO
12743,-2.1053,GO
12744,-2.1138,GO
12745,-2.1215,GO
12746,-2.1284,GO
12747,-2.1335,GO
12748,-2.1376,GO
12749,-2.1404,GO
12750,-2.1414,GO
12751,-2.1417,GO
12752,-2.1402,GO
12753,-2.1373,GO
12754,-2.1332,GO
12755,-2.1279,GO
12756,-2.1210,GO
12757,-2.1128,GO
12758,-2.1033,GO
12759,-2.0925,GO
12760,-2.0810,GO
12761,-2.0687,GO
12762,-2.0570,GO
12763,-2.0452,GO
12764,-2.0342,GO
12765,-2.0247,GO
12766,-2.0163,GO
12767,-2.0099,GO
12768,-2.0052,GO
12769,-2.0027,GO
12770,-2.0017,GO
12771,-2.0017,GO
12772,-2.0029,GO
12773,-2.0050,GO
12774,-2.0076,GO
12775,-2.0111,GO
12776,-2.0150,GO
12777,-2.0198,GO
12778,-2.0255,GO
12779,-2.0316,GO
12780,-2.0380,GO
12781,-2.0447,GO
12782,-2.0518,GO
12783,-2.0595,GO
12784,-2.0669,GO
12785,-2.0741,GO
12786,-2.0805,GO
12787,-2.0861,GO
12788,-2.0913,GO
12789,-2.0954,GO
12790,-2.0987,GO
12791,-2.1012,GO
12792,-2.1036,GO
12793,-2.1053,GO
12794,-2.1069,GO
12795,-2.1084,GO
12796,-2.1092,GO
12797,-2.1097,GO
12798,-2.1094,GO
12799,-2.1082,GO
12800,-2.1059,GO
12801,-2.1025,GO
12802,-2.0982,GO
12803,-2.0933,GO
12804,-2.0874,GO
12805,-2.0805,GO
12806,-2.0728,GO
12807,-2.0646,GO
12808,-2.0562,GO
12809,-2.0485,GO
